rated,created_at,turns,victory_status,winner,start_time,increment_time,white_id,black_id,white_rating,black_rating,spread,opening_name,opening_ply,white_rank,black_rank,avg_rating,avg_rank
FALSE,1.50E+12,66,mate,black,15,16,sureka_akshat,shivangithegenius,1141,1094,47,Four Knights Game,8,Novice,Novice,1118,Novice
FALSE,1.50E+12,101,resign,black,15,15,shivangithegenius,slam_ment,1094,1300,-206,Philidor Defense,5,Novice,Class D,1197,Novice
FALSE,1.50E+12,25,resign,white,11,0,g-ios,shivangithegenius,1500,1094,406,Queen's Pawn Game,2,Class C,Novice,1297,Class D
FALSE,1.50E+12,14,resign,black,15,15,shivangithegenius,lex_v1,1094,1676,-582,Italian Game,6,Novice,Class B,1385,Class D
FALSE,1.50E+12,3,resign,white,30,60,shivangithegenius,themannichreaction,1094,1068,26,Horwitz Defense,2,Novice,Novice,1081,Novice
FALSE,1.50E+12,17,resign,white,15,5,storm28rus,shivangithegenius,1500,1094,406,Sicilian Defense,3,Class C,Novice,1297,Class D
TRUE,1.50E+12,36,resign,white,10,0,robotsmoke,shivangithegenius,1307,1106,201,English Opening,4,Class D,Novice,1207,Class D
TRUE,1.50E+12,13,resign,black,10,0,shivangithegenius,ivangonzalez123,1113,1423,-310,Sicilian Defense,3,Novice,Class C,1268,Class D
TRUE,1.50E+12,69,mate,white,10,10,shivangithegenius,sureka_akshat,1078,1219,-141,Queen's Pawn Game,4,Novice,Class D,1149,Novice
TRUE,1.50E+12,43,resign,white,10,10,gmcarlsen403,shivangithegenius,1825,1079,746,Scotch Game,8,Class A,Novice,1452,Class C
TRUE,1.50E+12,54,mate,black,10,10,mannat1,shivangithegenius,1328,1038,290,Queen's Pawn Game,4,Class D,Novice,1183,Novice
TRUE,1.50E+12,53,resign,black,10,10,shivangithegenius,biyanivedant01,1056,1156,-100,Slav Defense,4,Novice,Novice,1106,Novice
TRUE,1.50E+12,66,mate,black,10,10,shivangithegenius,chinmaysharma,1077,1148,-71,Queen's Gambit Refused,4,Novice,Novice,1113,Novice
TRUE,1.50E+12,64,resign,black,10,10,biyanivedant01,shivangithegenius,1358,1036,322,Sicilian Defense,3,Class D,Novice,1197,Novice
TRUE,1.50E+12,64,mate,black,10,10,rv0209,shivangithegenius,1200,1002,198,Sicilian Defense,6,Class D,Novice,1101,Novice
TRUE,1.50E+12,54,resign,white,10,10,vihaandumir,shivangithegenius,1203,1019,184,Sicilian Defense,3,Class D,Novice,1111,Novice
FALSE,1.50E+12,21,resign,black,15,3,shivangithegenius,shamlanaseer,1019,1500,-481,Queen's Gambit Accepted,6,Novice,Class C,1260,Class D
FALSE,1.50E+12,11,resign,white,18,0,medovich,shivangithegenius,1422,975,447,Sicilian Defense,3,Class C,Novice,1199,Novice
TRUE,1.50E+12,19,resign,black,10,0,shivangithegenius,sorethea,976,1832,-856,Robatsch (Modern) Defense,4,Novice,Class A,1404,Class C
TRUE,1.50E+12,28,resign,white,10,0,rico21,shivangithegenius,1569,978,591,Blackmar-Diemer Gambit,10,Class C,Novice,1274,Class D
FALSE,1.50E+12,22,resign,black,15,0,shivangithegenius,jojo58,978,1500,-522,Indian Game,2,Novice,Class C,1239,Class D
FALSE,1.50E+12,37,resign,white,15,0,jojo58,shivangithegenius,1500,978,522,Sicilian Defense,17,Class C,Novice,1239,Class D
FALSE,1.50E+12,34,resign,white,30,30,rajuppi,shivangithegenius,2449,978,1471,English Opening,3,IM,Novice,1714,Class B
FALSE,1.50E+12,32,draw,draw,20,25,white_queen_1990,shivangithegenius,1207,978,229,Sicilian Defense,10,Class D,Novice,1093,Novice
FALSE,1.50E+12,71,resign,black,5,5,milestretch,shivangithegenius,1241,978,263,Sicilian Defense,3,Class D,Novice,1110,Novice
FALSE,1.50E+12,30,resign,white,30,0,stephen789,shivangithegenius,1500,978,522,Sicilian Defense,3,Class C,Novice,1239,Class D
FALSE,1.50E+12,66,resign,white,40,40,rajuppi,shivangithegenius,2443,978,1465,Sicilian Defense,17,IM,Novice,1711,Class B
FALSE,1.50E+12,41,resign,white,20,0,hmbrgr,shivangithegenius,1500,978,522,Sicilian Defense,3,Class C,Novice,1239,Class D
FALSE,1.50E+12,49,resign,white,15,0,jjwrchess,shivangithegenius,1500,978,522,Sicilian Defense,3,Class C,Novice,1239,Class D
FALSE,1.50E+12,3,resign,black,15,0,shivangithegenius,jjwrchess,978,1500,-522,Scandinavian Defense,2,Novice,Class C,1239,Class D
FALSE,1.50E+12,7,resign,white,10,0,adnanraj,shivangithegenius,1343,978,365,Sicilian Defense,3,Class D,Novice,1161,Novice
FALSE,1.50E+12,35,mate,white,40,40,rajuppi,shivangithegenius,2436,978,1458,Sicilian Defense,17,IM,Novice,1707,Class B
FALSE,1.50E+12,41,mate,white,40,40,rajuppi,shivangithegenius,2436,978,1458,Scandinavian Defense,4,IM,Novice,1707,Class B
FALSE,1.50E+12,5,resign,black,10,0,shivangithegenius,balkarec,978,1500,-522,French Defense,3,Novice,Class C,1239,Class D
FALSE,1.50E+12,7,resign,white,10,0,lucasimeon,shivangithegenius,1500,978,522,King's Pawn Game,4,Class C,Novice,1239,Class D
FALSE,1.50E+12,53,mate,white,10,0,shivangithegenius,lucasimeon,978,1500,-522,Dutch Defense,2,Novice,Class C,1239,Class D
FALSE,1.50E+12,36,resign,black,10,0,lucasimeon,shivangithegenius,1500,978,522,English Opening,2,Class C,Novice,1239,Class D
TRUE,1.50E+12,8,resign,white,16,0,wing175,gerfsh,1521,1162,359,Zukertort Opening,2,Class C,Novice,1342,Class D
TRUE,1.50E+12,3,resign,white,6,10,caramiecho72,gerfsh,1407,1500,-93,Sicilian Defense,3,Class C,Class C,1454,Class C
TRUE,1.50E+12,28,resign,white,10,0,mazyaraghgmail,wpc96,1492,1458,34,Vienna Game,5,Class C,Class C,1475,Class C
TRUE,1.50E+12,30,resign,black,10,0,anrk,wpc96,1414,1442,-28,Philidor Defense,8,Class C,Class C,1428,Class C
TRUE,1.50E+12,44,resign,black,10,0,wpc96,tbaruel,1457,1294,163,Scotch Game,5,Class C,Class D,1376,Class D
TRUE,1.50E+12,29,resign,white,10,0,acahn,wpc96,1525,1466,59,Philidor Defense,6,Class C,Class C,1496,Class C
TRUE,1.50E+12,37,resign,black,8,10,iskendermyucel,oldpaths,1207,1579,-372,French Defense,3,Class D,Class C,1393,Class D
TRUE,1.50E+12,49,resign,white,8,12,oldpaths,david1488,1567,1573,-6,Modern Defense,2,Class C,Class C,1570,Class C
TRUE,1.50E+12,32,resign,black,8,12,oldpaths,lc777,1578,1605,-27,Horwitz Defense,2,Class C,Class B,1592,Class C
TRUE,1.50E+12,25,resign,white,8,12,jordanfury,oldpaths,1939,1581,358,Blumenfeld Countergambit,6,Class A,Class C,1760,Class B
TRUE,1.50E+12,40,mate,black,5,10,porquepepe,oldpaths,1618,1568,50,French Defense,2,Class B,Class C,1593,Class C
TRUE,1.50E+12,39,resign,white,7,12,gio1212,oldpaths,1755,1574,181,Zukertort Opening,2,Class B,Class C,1665,Class B
TRUE,1.50E+12,57,resign,white,15,10,oldpaths,rubberchicken04,1561,1596,-35,Indian Game,2,Class C,Class C,1579,Class C
TRUE,1.50E+12,78,resign,black,5,40,berejokserg,oldpaths,1500,1554,-54,French Defense,3,Class C,Class C,1527,Class C
TRUE,1.50E+12,61,resign,white,15,5,oldpaths,trump216bc,1544,1461,83,Queen's Pawn Game,3,Class C,Class C,1503,Class C
TRUE,1.50E+12,44,resign,black,20,5,oldpaths,efer003,1563,1335,228,Queen's Pawn Game,3,Class C,Class D,1449,Class C
TRUE,1.50E+12,62,mate,black,20,5,oldpaths,fcolpo,1579,1470,109,Queen's Pawn,2,Class C,Class C,1525,Class C
TRUE,1.50E+12,87,mate,white,20,5,chesschumpchamp,oldpaths,1617,1590,27,Indian Game,2,Class B,Class C,1604,Class B
TRUE,1.50E+12,54,mate,black,20,5,aminox,oldpaths,1207,1588,-381,French Defense,7,Class D,Class C,1398,Class D
TRUE,1.50E+12,54,resign,black,15,5,oldpaths,sale0706,1595,1547,48,Queen's Pawn Game,3,Class C,Class C,1571,Class C
TRUE,1.50E+12,37,resign,white,15,5,redar1,oldpaths,1855,1599,256,French Defense,5,Class A,Class C,1727,Class B
TRUE,1.50E+12,50,resign,white,15,5,oldpaths,insequitur,1589,1547,42,Horwitz Defense,2,Class C,Class C,1568,Class C
TRUE,1.50E+12,131,resign,white,30,0,oldpaths,tb-123,1571,1728,-157,Queen's Pawn Game,5,Class C,Class B,1650,Class B
TRUE,1.50E+12,48,resign,white,30,0,tb-123,oldpaths,1720,1579,141,French Defense,3,Class B,Class C,1650,Class B
TRUE,1.50E+12,47,resign,black,15,5,oldpaths,iris_foxspring,1579,2105,-526,Queen's Pawn Game,5,Class C,Expert,1842,Class A
TRUE,1.50E+12,64,mate,black,15,5,zoro55,oldpaths,1768,1560,208,French Defense,3,Class B,Class C,1664,Class B
TRUE,1.50E+12,61,resign,white,15,5,oldpaths,geburah,1552,1436,116,Queen's Pawn Game,3,Class C,Class C,1494,Class C
TRUE,1.50E+12,57,mate,white,15,5,oldpaths,urmil007,1536,1667,-131,Queen's Pawn Game,5,Class C,Class B,1602,Class B
TRUE,1.50E+12,51,resign,white,15,5,serai,oldpaths,1521,1549,-28,English Opening,2,Class C,Class C,1535,Class C
TRUE,1.50E+12,58,mate,black,15,5,allahdeweswin,oldpaths,1251,1545,-294,Crab Opening,3,Class D,Class C,1398,Class D
TRUE,1.50E+12,71,resign,white,15,5,oldpaths,antoniogallero,1537,1408,129,Queen's Pawn Game,3,Class C,Class C,1473,Class C
TRUE,1.50E+12,114,resign,white,15,5,oldpaths,matheuswillx,1522,1512,10,Queen's Pawn,1,Class C,Class C,1517,Class C
TRUE,1.50E+12,39,resign,white,15,5,euler_jr,oldpaths,1602,1532,70,French Defense,11,Class B,Class C,1567,Class C
TRUE,1.50E+12,20,resign,black,15,5,oldpaths,euler_jr,1543,1593,-50,Queen's Pawn Game,5,Class C,Class C,1568,Class C
TRUE,1.50E+12,48,resign,black,30,0,oldpaths,krillnor,1556,1539,17,Queen's Pawn Game,3,Class C,Class C,1548,Class C
TRUE,1.50E+12,34,mate,black,20,10,hoanghieudro2,oldpaths,1409,1548,-139,French Defense,3,Class C,Class C,1479,Class C
TRUE,1.50E+12,51,resign,white,20,10,oldpaths,hoanghieudro2,1539,1418,121,Queen's Pawn Game,5,Class C,Class C,1479,Class C
TRUE,1.50E+12,69,resign,white,20,10,ehabhaddad,oldpaths,1603,1550,53,French Defense,3,Class B,Class C,1577,Class C
TRUE,1.50E+12,28,resign,white,20,10,oldpaths,gabrielsol,1542,1399,143,Queen's Pawn Game,4,Class C,Class D,1471,Class C
TRUE,1.50E+12,62,resign,black,20,10,oldpaths,crushmik,1546,1877,-331,Queen's Pawn Game,5,Class C,Class A,1712,Class B
TRUE,1.50E+12,62,mate,black,20,10,amary33,oldpaths,1134,1535,-401,Queen's Indian Defense,4,Novice,Class C,1335,Class D
TRUE,1.50E+12,85,mate,white,20,10,oldpaths,remisero,1513,1784,-271,Horwitz Defense,2,Class C,Class B,1649,Class B
TRUE,1.50E+12,38,resign,white,20,10,oldpaths,ryan94,1501,1445,56,Queen's Pawn Game,5,Class C,Class C,1473,Class C
FALSE,1.50E+12,14,resign,white,45,0,lotfibma,hollyandclaws,1500,1500,0,Italian Game,8,Class C,Class C,1500,Class C
TRUE,1.50E+12,113,draw,draw,15,0,avelez8,anonymous1705,1745,1714,31,Queen's Gambit Refused,4,Class B,Class B,1730,Class B
TRUE,1.50E+12,62,resign,white,15,0,avelez8,ars01,1734,1748,-14,Queen's Gambit Refused,4,Class B,Class B,1741,Class B
TRUE,1.50E+12,101,resign,white,10,0,salah04,avelez8,1942,1739,203,French Defense,6,Class A,Class B,1841,Class A
TRUE,1.50E+12,75,outoftime,white,10,0,avelez8,vincenzo2000,1724,1855,-131,Scotch Game,7,Class B,Class A,1790,Class B
TRUE,1.50E+12,135,mate,white,10,0,majid_alsalhi,avelez8,1951,1729,222,French Defense,11,Class A,Class B,1840,Class A
TRUE,1.50E+12,81,outoftime,white,10,0,avelez8,pavankumarg,1726,1388,338,Philidor Defense,5,Class B,Class D,1557,Class C
TRUE,1.50E+12,46,resign,black,10,0,avelez8,mrmaccc,1735,1806,-71,Gruenfeld Defense,6,Class B,Class A,1771,Class B
TRUE,1.50E+12,70,mate,black,10,0,hopefullman15,avelez8,1597,1728,-131,French Defense,3,Class C,Class B,1663,Class B
TRUE,1.50E+12,39,resign,white,10,0,laeca53,avelez8,1743,1738,5,French Defense,10,Class B,Class B,1741,Class B
TRUE,1.50E+12,91,resign,white,10,0,totoymate,avelez8,1721,1750,-29,Queen's Gambit Declined,7,Class B,Class B,1736,Class B
TRUE,1.50E+12,137,outoftime,white,10,0,avelez8,frynoodles,1746,1487,259,Queen's Gambit Accepted,5,Class B,Class C,1617,Class B
TRUE,1.50E+12,46,resign,black,10,0,jdalcheco,avelez8,1744,1735,9,French Defense,9,Class B,Class B,1740,Class B
TRUE,1.50E+12,18,resign,black,10,0,avelez8,yolandoparada,1749,1631,118,Queen's Gambit Declined,9,Class B,Class B,1690,Class B
TRUE,1.50E+12,28,resign,black,10,0,avelez8,murattibogurcu,1769,1396,373,Queen's Gambit Accepted,5,Class B,Class D,1583,Class C
TRUE,1.50E+12,40,resign,black,5,8,cdvh,hunecel,1795,1760,35,Yusupov-Rubinstein System,5,Class B,Class B,1778,Class B
TRUE,1.50E+12,111,mate,white,15,0,hafedfree,cdvh,1729,1795,-66,Queen's Gambit Declined,5,Class B,Class B,1762,Class B
TRUE,1.50E+12,54,mate,black,10,0,decem,cdvh,1795,1784,11,Ruy Lopez,6,Class B,Class B,1790,Class B
TRUE,1.50E+12,33,resign,white,10,0,cdvh,japcan,1770,1872,-102,Queen's Pawn Game,3,Class B,Class A,1821,Class A
TRUE,1.50E+12,90,resign,black,10,0,cdvh,raubstein,1783,1721,62,Queen's Pawn Game,5,Class B,Class B,1752,Class B
TRUE,1.50E+12,90,resign,black,10,0,ashishbarda,cdvh,1884,1768,116,Ruy Lopez,7,Class A,Class B,1826,Class A
TRUE,1.50E+12,40,mate,black,10,0,omid163,cdvh,1756,1756,0,Bishop's Opening,5,Class B,Class B,1756,Class B
TRUE,1.50E+12,49,outoftime,white,8,0,cdvh,capito2017,1724,1958,-234,Benoni Defense,5,Class B,Class A,1841,Class A
TRUE,1.50E+12,50,resign,black,10,0,chess-brahs,cdvh,2036,1706,330,King's Indian Attack,6,Expert,Class B,1871,Class A
TRUE,1.50E+12,59,mate,white,10,0,cdvh,dashy1,1706,925,781,Queen's Pawn Game,5,Class B,Novice,1316,Class D
TRUE,1.50E+12,26,outoftime,black,15,15,mosheaugustyn,sassou,1244,1219,25,Nimzowitsch Defense,4,Class D,Class D,1232,Class D
TRUE,1.50E+12,23,mate,white,15,15,sassou,memoryberat,1215,921,294,Italian Game,5,Class D,Novice,1068,Novice
TRUE,1.50E+12,118,mate,black,15,15,fatmat,sassou,1350,1201,149,Alekhine Defense,5,Class D,Class D,1276,Class D
TRUE,1.50E+12,66,mate,black,15,15,sassou,alpheus23,1210,1280,-70,Sicilian Defense,4,Class D,Class D,1245,Class D
TRUE,1.50E+12,120,draw,draw,15,15,sureka_akshat,sassou,1139,1212,-73,Four Knights Game,8,Novice,Class D,1176,Novice
TRUE,1.50E+12,36,mate,black,15,15,sassou,kapi77,1220,1341,-121,Italian Game,11,Class D,Class D,1281,Class D
TRUE,1.50E+12,26,mate,black,15,15,sassou,cohiba_313,1234,1359,-125,Italian Game,6,Class D,Class D,1297,Class D
TRUE,1.50E+12,62,resign,black,15,15,sassou,bagelsfu,1275,1236,39,Italian Game,11,Class D,Class D,1256,Class D
TRUE,1.50E+12,37,resign,white,15,15,sabayossi,sassou,1433,1282,151,Alekhine Defense,3,Class C,Class D,1358,Class D
TRUE,1.50E+12,24,resign,black,15,15,trelynn17,sassou,1132,1276,-144,Queen's Gambit Refused,4,Novice,Class D,1204,Class D
FALSE,1.50E+12,47,resign,white,30,2,sassou,maougnassou,1276,1308,-32,Italian Game,6,Class D,Class D,1292,Class D
TRUE,1.50E+12,37,resign,black,15,15,laeufer26,sassou,1228,1266,-38,Alekhine Defense,7,Class D,Class D,1247,Class D
TRUE,1.50E+12,24,resign,black,15,15,sassou,popsun,1273,1409,-136,Caro-Kann Defense,5,Class D,Class C,1341,Class D
TRUE,1.50E+12,9,resign,white,15,15,mdaboczi,sassou,1338,1277,61,Queen's Pawn Game,3,Class D,Class D,1308,Class D
TRUE,1.50E+12,47,mate,white,15,15,sassou,marktop1,1263,1336,-73,Sicilian Defense,8,Class D,Class D,1300,Class D
TRUE,1.50E+12,85,mate,white,15,15,rougethunder,sassou,1316,1273,43,English Opening,2,Class D,Class D,1295,Class D
TRUE,1.50E+12,39,mate,white,15,15,sassou,shobik24,1248,1253,-5,Goldsmith Defense,2,Class D,Class D,1251,Class D
TRUE,1.50E+12,58,mate,black,15,15,maninayebi,sassou,1335,1233,102,Nimzo-Indian Defense,6,Class D,Class D,1284,Class D
TRUE,1.50E+12,95,mate,white,15,15,sassou,agilm,1223,1189,34,Italian Game,11,Class D,Novice,1206,Class D
TRUE,1.50E+12,2,resign,black,15,15,pune123,sassou,1443,1204,239,Alekhine Defense,2,Class C,Class D,1324,Class D
TRUE,1.50E+12,97,mate,white,15,15,failedocean,sassou,1227,1216,11,Queen's Gambit Refused,4,Class D,Class D,1222,Class D
TRUE,1.50E+12,12,draw,draw,15,15,sassou,lumipa,1215,1219,-4,Italian Game,5,Class D,Class D,1217,Class D
TRUE,1.50E+12,30,resign,white,15,15,fastandbulbous420,sassou,1227,1227,0,Four Knights Game,8,Class D,Class D,1227,Class D
TRUE,1.50E+12,43,mate,white,10,0,minimouf,sassou,1550,1225,325,Bogo-Indian Defense,8,Class C,Class D,1388,Class D
TRUE,1.50E+12,11,resign,white,15,15,goodolddaystr,sassou,1325,1234,91,Alekhine Defense,2,Class D,Class D,1280,Class D
TRUE,1.50E+12,72,mate,black,15,15,gonzalogp98,sassou,1212,1221,-9,Alekhine Defense,5,Class D,Class D,1217,Class D
TRUE,1.50E+12,156,mate,black,15,15,sassou,vladimir_shindin,1226,1478,-252,King's Knight Opening,3,Class D,Class C,1352,Class D
TRUE,1.50E+12,18,resign,black,25,0,sassou,martin74,1228,1626,-398,Queen's Gambit Declined,4,Class D,Class B,1427,Class C
FALSE,1.50E+12,77,mate,white,10,2,gotochess,sassou,1191,1228,-37,French Defense,7,Novice,Class D,1210,Class D
TRUE,1.50E+12,32,resign,black,30,0,quent0,sassou,1422,1210,212,Alekhine Defense,5,Class C,Class D,1316,Class D
TRUE,1.50E+12,35,resign,white,15,15,dangerflaps,sassou,1186,1223,-37,Vienna Game,5,Novice,Class D,1205,Class D
TRUE,1.50E+12,85,mate,white,15,15,sassou,shazzam9999,1212,1212,0,Modern Defense,2,Class D,Class D,1212,Class D
TRUE,1.50E+12,50,resign,black,15,15,sassou,chessn00b47,1228,1343,-115,Scandinavian Defense,6,Class D,Class D,1286,Class D
TRUE,1.50E+12,111,resign,white,10,10,japonxino,isachess,1865,1862,3,Yusupov-Rubinstein System,5,Class A,Class A,1864,Class A
TRUE,1.50E+12,65,outoftime,white,7,2,isachess,roshan_ie,1852,1852,0,Sicilian Defense,5,Class A,Class A,1852,Class A
TRUE,1.50E+12,73,resign,white,15,0,cliff_walker,isachess,1833,1863,-30,Benoni Defense,4,Class A,Class A,1848,Class A
TRUE,1.50E+12,125,resign,white,15,0,isachess,sergej1956,1851,1918,-67,Sicilian Defense,4,Class A,Class A,1885,Class A
TRUE,1.50E+12,76,resign,black,15,0,isachess,pogrib,1861,1844,17,Italian Game,6,Class A,Class A,1853,Class A
TRUE,1.50E+12,65,outoftime,white,10,0,isachess,tartetatin,1853,1774,79,Ruy Lopez,6,Class A,Class B,1814,Class A
TRUE,1.50E+12,41,mate,white,10,0,juncinmestrella,isachess,1910,1862,48,Sicilian Defense,11,Class A,Class A,1886,Class A
TRUE,1.50E+12,59,resign,white,10,0,isachess,robinhood76,1851,1890,-39,French Defense,3,Class A,Class A,1871,Class A
TRUE,1.50E+12,70,resign,black,15,5,tohaimr7,isachess,1860,1840,20,Sicilian Defense,5,Class A,Class A,1850,Class A
TRUE,1.50E+12,34,resign,white,25,25,zpectral-chess,isachess,1828,1848,-20,Sicilian Defense,5,Class A,Class A,1838,Class A
TRUE,1.50E+12,69,outoftime,white,8,0,javier_temperley,isachess,1855,1858,-3,Amar Opening,1,Class A,Class A,1857,Class A
TRUE,1.50E+12,63,resign,white,10,10,isachess,jadesummer,1847,1895,-48,Ruy Lopez,8,Class A,Class A,1871,Class A
TRUE,1.50E+12,107,resign,white,10,10,jadesummer,isachess,1885,1856,29,Sicilian Defense,4,Class A,Class A,1871,Class A
TRUE,1.50E+12,58,resign,white,30,0,isachess,borvel,1847,1802,45,Queen's Pawn,1,Class A,Class A,1825,Class A
FALSE,1.50E+12,34,resign,black,20,5,isachess,homayoni,1847,1856,-9,Caro-Kann Defense,6,Class A,Class A,1852,Class A
TRUE,1.50E+12,100,outoftime,black,15,0,demetrio50,isachess,1840,1837,3,Sicilian Defense,3,Class A,Class A,1839,Class A
TRUE,1.50E+12,80,resign,black,5,5,isachess,maxpiz5,1848,1806,42,Sicilian Defense,4,Class A,Class A,1827,Class A
TRUE,1.50E+12,44,resign,black,15,0,isachess,philiveykk,1860,1820,40,French Defense,3,Class A,Class A,1840,Class A
TRUE,1.50E+12,40,outoftime,black,10,0,azcatdave,isachess,1854,1849,5,Paleface Attack,3,Class A,Class A,1852,Class A
TRUE,1.50E+12,105,outoftime,white,10,0,fikr,isachess,1895,1859,36,Sicilian Defense,4,Class A,Class A,1877,Class A
TRUE,1.50E+12,50,resign,black,15,0,isachess,samdooley,1866,1965,-99,Sicilian Defense,6,Class A,Class A,1916,Class A
FALSE,1.50E+12,144,outoftime,draw,10,0,isachess,teguhmaster,1866,1843,23,Sicilian Defense,4,Class A,Class A,1855,Class A
FALSE,1.50E+12,81,resign,black,10,0,nf3isstrong,isachess,1835,1866,-31,Caro-Kann Defense,11,Class A,Class A,1851,Class A
TRUE,1.50E+12,69,resign,black,15,0,isachess,dzigibau,1877,1860,17,Ruy Lopez,6,Class A,Class A,1869,Class A
TRUE,1.50E+12,77,mate,white,7,8,edil1800,isachess,1849,1874,-25,Sicilian Defense,11,Class A,Class A,1862,Class A
TRUE,1.50E+12,158,mate,black,6,6,humb,isachess,1835,1865,-30,Blumenfeld Countergambit,6,Class A,Class A,1850,Class A
TRUE,1.50E+12,107,draw,draw,15,5,isachess,claudiucojo,1866,1835,31,Italian Game,7,Class A,Class A,1851,Class A
TRUE,1.50E+12,117,mate,white,15,0,isachess,abikhoshnavaz,1856,1829,27,Ruy Lopez,12,Class A,Class A,1843,Class A
TRUE,1.50E+12,44,resign,white,10,0,isachess,sakkkakas,1845,1846,-1,Ruy Lopez,8,Class A,Class A,1846,Class A
TRUE,1.50E+12,40,resign,black,15,0,seetripuu,isachess,1834,1835,-1,Sicilian Defense,4,Class A,Class A,1835,Class A
TRUE,1.50E+12,59,resign,white,15,5,seif22,isachess,1846,1845,1,Caro-Kann Defense,2,Class A,Class A,1846,Class A
FALSE,1.50E+12,110,resign,black,10,0,isachess,nicolo97,1845,1917,-72,Queen's Gambit Refused,4,Class A,Class A,1881,Class A
TRUE,1.50E+12,30,resign,black,15,0,isachess,tajbo4,1858,1790,68,Scandinavian Defense,4,Class A,Class B,1824,Class A
TRUE,1.50E+12,54,resign,black,10,0,nespil,isachess,1871,1847,24,Sicilian Defense,4,Class A,Class A,1859,Class A
TRUE,1.50E+12,69,resign,black,10,0,isachess,turix,1846,1869,-23,Philidor Defense,5,Class A,Class A,1858,Class A
TRUE,1.50E+12,178,mate,black,16,0,sergeylobanov,isachess,1843,1836,7,Sicilian Defense,3,Class A,Class A,1840,Class A
TRUE,1.50E+12,136,resign,black,15,0,clown_with_a_knife,isachess,1800,1826,-26,Sicilian Defense,2,Class A,Class A,1813,Class A
FALSE,1.50E+12,124,mate,black,8,0,taranga,whfo,1283,1267,16,Sicilian Defense,5,Class D,Class D,1275,Class D
TRUE,1.50E+12,96,resign,black,10,4,phileasfrog,taranga,1290,1270,20,Hungarian Opening,1,Class D,Class D,1280,Class D
TRUE,1.50E+12,53,outoftime,white,12,0,patrizio67,taranga,1331,1281,50,Queen's Pawn Game,4,Class D,Class D,1306,Class D
TRUE,1.50E+12,39,mate,white,10,0,piroz_xucestih,taranga,1304,1292,12,Van't Kruijs Opening,1,Class D,Class D,1298,Class D
TRUE,1.50E+12,10,mate,black,10,0,taranga,piroz_xucestih,1305,1293,12,French Defense,3,Class D,Class D,1299,Class D
TRUE,1.50E+12,51,mate,white,10,0,lelik3310,taranga,1308,1317,-9,Center Game,8,Class D,Class D,1313,Class D
TRUE,1.50E+12,18,resign,black,15,0,cesar1945,taranga,1296,1305,-9,Italian Game,13,Class D,Class D,1301,Class D
FALSE,1.50E+12,106,mate,black,30,0,marmoraka5,taranga,968,1305,-337,Four Knights Game,8,Novice,Class D,1137,Novice
